<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.06.12	10:00:00	0.26	0.26	0.26	0.26	1	800	1
2018.06.12	15:00:00	0.18	0.18	0.18	0.18	2	2000	1
2018.06.12	16:00:00	0.16	0.16	0.16	0.16	1	1000	1
2018.06.13	11:00:00	0.14	0.14	0.14	0.14	4	4000	1
2018.06.13	14:00:00	0.15	0.15	0.15	0.15	1	4000	1
2018.06.13	16:00:00	0.16	0.20	0.16	0.20	2	2400	1
2018.06.14	10:00:00	0.24	0.24	0.21	0.21	2	6000	1
2018.06.14	13:00:00	0.18	0.18	0.18	0.18	2	5200	1
2018.06.14	15:00:00	0.14	0.18	0.14	0.14	5	2400	1
2018.06.14	16:00:00	0.19	0.19	0.15	0.15	3	2100	1
2018.06.15	10:00:00	0.15	0.15	0.15	0.15	1	2500	1
2018.06.15	11:00:00	0.16	0.16	0.15	0.15	2	2100	1
2018.06.15	12:00:00	0.15	0.15	0.15	0.15	4	29600	1
2018.06.15	13:00:00	0.14	0.15	0.14	0.15	3	10000	1
2018.06.15	15:00:00	0.15	0.15	0.15	0.15	1	10000	1
2018.06.15	16:00:00	0.15	0.16	0.15	0.16	2	2500	1
2018.06.18	10:00:00	0.19	0.19	0.19	0.19	1	500	1
2018.06.18	11:00:00	0.19	0.19	0.19	0.19	1	10000	1
2018.06.18	12:00:00	0.19	0.19	0.18	0.19	17	222000	1
2018.06.18	13:00:00	0.19	0.19	0.17	0.17	12	80000	1
2018.06.18	14:00:00	0.18	0.18	0.18	0.18	5	31900	1
2018.06.18	15:00:00	0.17	0.17	0.17	0.17	4	28000	1
2018.06.18	16:00:00	0.16	0.16	0.15	0.15	3	2200	1
2018.06.19	12:00:00	0.15	0.16	0.15	0.16	5	15400	1
2018.06.19	13:00:00	0.16	0.17	0.16	0.17	6	15500	1
2018.06.19	14:00:00	0.18	0.20	0.18	0.20	3	10200	1
2018.06.19	15:00:00	0.20	0.25	0.20	0.25	5	6000	1
2018.06.20	10:00:00	0.50	0.50	0.24	0.24	4	1600	1
2018.06.20	11:00:00	0.32	0.32	0.28	0.28	4	1500	1
2018.06.20	12:00:00	0.28	0.38	0.28	0.38	68	261300	1
2018.06.20	13:00:00	0.38	0.39	0.36	0.39	45	27300	1
2018.06.20	14:00:00	0.34	0.35	0.34	0.35	4	28200	1
2018.06.20	15:00:00	0.36	0.38	0.36	0.36	5	6300	1
2018.06.20	16:00:00	0.36	0.36	0.34	0.34	8	55600	1
2018.06.21	10:00:00	0.30	0.30	0.29	0.29	10	46200	1
2018.06.21	11:00:00	0.28	0.29	0.27	0.27	5	6800	1
2018.06.21	12:00:00	0.25	0.26	0.24	0.26	98	24100	1
2018.06.21	13:00:00	0.26	0.26	0.26	0.26	1	400	1
2018.06.21	14:00:00	0.26	0.26	0.24	0.25	5	16900	1
2018.06.21	15:00:00	0.23	0.23	0.22	0.22	5	2900	1
2018.06.21	16:00:00	0.21	0.21	0.19	0.19	10	7900	1
2018.06.22	10:00:00	0.22	0.22	0.20	0.20	2	4200	1
2018.06.22	11:00:00	0.20	0.21	0.16	0.21	12	50200	1
2018.06.22	12:00:00	0.21	0.21	0.21	0.21	1	500	1
2018.06.22	13:00:00	0.19	0.19	0.19	0.19	1	1000	1
2018.06.22	14:00:00	0.19	0.19	0.17	0.17	6	12100	1
2018.06.22	15:00:00	0.18	0.18	0.18	0.18	2	1300	1
2018.06.22	16:00:00	0.18	0.19	0.17	0.18	7	5400	1
2018.06.25	10:00:00	0.20	0.20	0.20	0.20	1	100	1
2018.06.25	11:00:00	0.17	0.17	0.16	0.16	23	76600	1
2018.06.25	12:00:00	0.16	0.18	0.16	0.17	20	35100	1
2018.06.25	14:00:00	0.19	0.22	0.19	0.22	23	20600	1
2018.06.25	15:00:00	0.22	0.22	0.20	0.20	3	7600	1
2018.06.25	16:00:00	0.22	0.23	0.22	0.23	3	4700	1
2018.06.26	10:00:00	0.25	0.26	0.23	0.24	8	11800	1
2018.06.26	11:00:00	0.24	0.24	0.21	0.21	12	48300	1
2018.06.26	12:00:00	0.21	0.24	0.21	0.24	5	5300	1
2018.06.26	13:00:00	0.23	0.23	0.23	0.23	1	1000	1
2018.06.26	14:00:00	0.23	0.23	0.23	0.23	1	500	1
2018.06.26	15:00:00	0.21	0.23	0.21	0.23	10	6200	1
2018.06.26	16:00:00	0.23	0.23	0.21	0.23	4	5000	1
2018.06.27	11:00:00	0.24	0.41	0.24	0.41	89	331500	1
2018.06.27	12:00:00	0.40	0.40	0.36	0.36	5	16500	1
2018.06.27	13:00:00	0.35	0.35	0.35	0.35	1	200	1
2018.06.27	14:00:00	0.34	0.34	0.34	0.34	5	7800	1
2018.06.27	15:00:00	0.31	0.32	0.31	0.32	7	12000	1
2018.06.28	10:00:00	0.34	0.34	0.33	0.33	5	4700	1
2018.06.28	11:00:00	0.32	0.36	0.32	0.36	13	50900	1
2018.06.28	12:00:00	0.36	0.38	0.35	0.36	85	383500	1
2018.06.28	13:00:00	0.35	0.36	0.32	0.32	32	62800	1
2018.06.28	14:00:00	0.35	0.39	0.35	0.39	49	135800	1
2018.06.28	15:00:00	0.39	0.40	0.33	0.33	16	35500	1
2018.06.28	16:00:00	0.33	0.33	0.30	0.31	13	17400	1
2018.06.29	10:00:00	0.30	0.37	0.30	0.35	14	38600	1
2018.06.29	11:00:00	0.36	0.38	0.35	0.35	21	120600	1
2018.06.29	12:00:00	0.35	0.35	0.33	0.33	12	129700	1
2018.06.29	13:00:00	0.33	0.35	0.33	0.34	5	6000	1
2018.06.29	14:00:00	0.33	0.34	0.33	0.34	7	11700	1
2018.06.29	15:00:00	0.33	0.33	0.33	0.33	4	25500	1
2018.06.29	16:00:00	0.35	0.36	0.33	0.36	22	13200	1
2018.07.02	10:00:00	0.32	0.38	0.32	0.38	17	151900	1
2018.07.02	11:00:00	0.38	0.39	0.36	0.36	11	78000	1
2018.07.02	12:00:00	0.35	0.36	0.35	0.35	4	7700	1
2018.07.02	13:00:00	0.36	0.39	0.36	0.38	41	211100	1
2018.07.02	14:00:00	0.37	0.37	0.35	0.35	19	16600	1
2018.07.02	15:00:00	0.37	0.38	0.36	0.38	25	21800	1
2018.07.02	16:00:00	0.38	0.39	0.37	0.38	14	23700	1
2018.07.03	10:00:00	0.39	0.47	0.39	0.44	81	42900	1
2018.07.03	11:00:00	0.43	0.47	0.43	0.46	33	99500	1
2018.07.03	12:00:00	0.45	0.45	0.43	0.43	12	47400	1
2018.07.03	13:00:00	0.43	0.43	0.41	0.41	3	2500	1
2018.07.03	14:00:00	0.41	0.41	0.40	0.40	7	37400	1
2018.07.03	15:00:00	0.41	0.42	0.41	0.41	12	27500	1
2018.07.03	16:00:00	0.41	0.41	0.40	0.41	15	22600	1
2018.07.04	10:00:00	0.37	0.38	0.34	0.35	84	74200	1
2018.07.04	11:00:00	0.34	0.37	0.33	0.35	25	83100	1
2018.07.04	12:00:00	0.36	0.36	0.34	0.34	9	12000	1
2018.07.04	13:00:00	0.36	0.36	0.34	0.35	11	4300	1
2018.07.04	14:00:00	0.34	0.35	0.34	0.35	5	6300	1
2018.07.04	15:00:00	0.37	0.44	0.35	0.44	78	62100	1
2018.07.04	16:00:00	0.46	0.62	0.46	0.62	196	301700	1
2018.07.05	10:00:00	0.76	0.76	0.51	0.55	629	696400	1
2018.07.05	11:00:00	0.54	0.54	0.45	0.45	583	263500	1
2018.07.05	12:00:00	0.48	0.53	0.43	0.52	223	136800	1
2018.07.05	13:00:00	0.52	0.55	0.51	0.54	87	237300	1
2018.07.05	14:00:00	0.53	0.53	0.47	0.48	45	88300	1
2018.07.05	15:00:00	0.47	0.49	0.46	0.48	57	68000	1
2018.07.05	16:00:00	0.47	0.48	0.43	0.44	69	278900	1
2018.07.06	10:00:00	0.46	0.46	0.39	0.43	147	131400	1
2018.07.06	11:00:00	0.43	0.44	0.41	0.42	36	25000	1
2018.07.06	12:00:00	0.44	0.45	0.38	0.38	22	16000	1
2018.07.06	13:00:00	0.40	0.42	0.37	0.38	173	59700	1
2018.07.06	14:00:00	0.38	0.41	0.38	0.39	94	55100	1
2018.07.06	15:00:00	0.40	0.42	0.38	0.42	49	22500	1
2018.07.06	16:00:00	0.40	0.43	0.39	0.40	94	35700	1
2018.07.10	10:00:00	0.50	0.50	0.43	0.47	198	254000	1
2018.07.10	11:00:00	0.47	0.47	0.41	0.41	111	208900	1
2018.07.10	12:00:00	0.43	0.44	0.42	0.42	63	57300	1
2018.07.10	13:00:00	0.43	0.43	0.39	0.40	845	303900	1
2018.07.10	14:00:00	0.41	0.42	0.38	0.39	782	427300	1
2018.07.10	15:00:00	0.38	0.39	0.31	0.34	449	161800	1
2018.07.10	16:00:00	0.33	0.34	0.33	0.33	358	392400	1
2018.07.11	10:00:00	0.31	0.36	0.27	0.34	591	530400	1
2018.07.11	11:00:00	0.35	0.38	0.32	0.33	144	388800	1
2018.07.11	12:00:00	0.34	0.34	0.30	0.30	248	371500	1
2018.07.11	13:00:00	0.31	0.34	0.31	0.32	370	277100	1
2018.07.11	14:00:00	0.32	0.33	0.30	0.30	244	151800	1
2018.07.11	15:00:00	0.30	0.30	0.26	0.26	950	564600	1
2018.07.11	16:00:00	0.27	0.28	0.25	0.28	259	182800	1
2018.07.12	10:00:00	0.30	0.31	0.27	0.30	103	194000	1
2018.07.12	11:00:00	0.30	0.30	0.26	0.28	104	433600	1
2018.07.12	12:00:00	0.27	0.28	0.26	0.28	42	186700	1
2018.07.12	13:00:00	0.27	0.28	0.25	0.28	76	131900	1
2018.07.12	14:00:00	0.27	0.30	0.27	0.30	147	279000	1
2018.07.12	15:00:00	0.30	0.32	0.29	0.32	117	582700	1
2018.07.12	16:00:00	0.32	0.33	0.30	0.32	70	334300	1
2018.07.13	10:00:00	0.32	0.33	0.29	0.29	249	466400	1
2018.07.13	11:00:00	0.29	0.29	0.27	0.29	98	294800	1
2018.07.13	12:00:00	0.30	0.32	0.29	0.31	192	501200	1
2018.07.13	13:00:00	0.31	0.32	0.30	0.30	48	108900	1
2018.07.13	14:00:00	0.30	0.31	0.29	0.30	37	97900	1
2018.07.13	15:00:00	0.29	0.30	0.27	0.28	85	112900	1
2018.07.13	16:00:00	0.28	0.30	0.28	0.29	106	389600	1
2018.07.16	10:00:00	0.27	0.30	0.24	0.29	804	2049000	1
2018.07.16	11:00:00	0.28	0.30	0.23	0.25	584	2123300	1
2018.07.16	12:00:00	0.24	0.26	0.22	0.25	543	1123300	1
2018.07.16	13:00:00	0.24	0.26	0.22	0.24	257	671000	1
2018.07.16	14:00:00	0.23	0.25	0.22	0.23	3404	799100	1
2018.07.16	15:00:00	0.23	0.26	0.22	0.23	3461	1312900	1
2018.07.16	16:00:00	0.23	0.25	0.22	0.24	3056	1252400	1
2018.07.17	10:00:00	0.23	0.25	0.21	0.24	459	2785000	1
2018.07.17	11:00:00	0.24	0.26	0.22	0.24	406	2638500	1
2018.07.17	12:00:00	0.24	0.26	0.23	0.26	218	781300	1
2018.07.17	13:00:00	0.26	0.27	0.25	0.26	194	900400	1
2018.07.17	14:00:00	0.26	0.29	0.26	0.26	332	1554900	1
2018.07.17	15:00:00	0.27	0.27	0.23	0.25	387	1233200	1
2018.07.17	16:00:00	0.25	0.26	0.24	0.24	144	633200	1
2018.07.18	10:00:00	0.23	0.27	0.21	0.22	787	3413700	1
2018.07.18	11:00:00	0.23	0.23	0.19	0.21	793	2217600	1
2018.07.18	12:00:00	0.22	0.23	0.21	0.22	209	1131100	1
2018.07.18	13:00:00	0.22	0.23	0.21	0.22	94	290500	1
2018.07.18	14:00:00	0.22	0.22	0.20	0.20	242	584400	1
2018.07.18	15:00:00	0.21	0.22	0.20	0.21	167	553600	1
2018.07.18	16:00:00	0.21	0.22	0.19	0.20	257	1418900	1
2018.07.19	10:00:00	0.18	0.21	0.16	0.20	548	4156900	1
2018.07.19	11:00:00	0.19	0.21	0.18	0.21	202	1338500	1
2018.07.19	12:00:00	0.20	0.21	0.18	0.19	94	903200	1
2018.07.19	13:00:00	0.19	0.20	0.18	0.18	72	744300	1
2018.07.19	14:00:00	0.19	0.20	0.17	0.18	101	910900	1
2018.07.19	15:00:00	0.18	0.19	0.17	0.18	201	1294700	1
2018.07.19	16:00:00	0.18	0.25	0.16	0.25	388	2496100	1
2018.07.20	10:00:00	0.39	0.40	0.28	0.35	2690	8461000	1
2018.07.20	11:00:00	0.35	0.42	0.34	0.41	1979	7366400	1
2018.07.20	12:00:00	0.41	0.41	0.34	0.35	885	3850800	1
2018.07.20	13:00:00	0.36	0.38	0.34	0.35	394	1006600	1
2018.07.20	14:00:00	0.36	0.38	0.34	0.36	622	3041200	1
2018.07.20	15:00:00	0.36	0.38	0.32	0.34	552	1089400	1
2018.07.20	16:00:00	0.34	0.36	0.33	0.36	1112	1814300	1
2018.07.23	10:00:00	0.38	0.39	0.33	0.37	922	3832100	1
2018.07.23	11:00:00	0.37	0.39	0.35	0.37	366	2038600	1
2018.07.23	12:00:00	0.37	0.39	0.36	0.37	216	1104100	1
2018.07.23	13:00:00	0.37	0.38	0.36	0.36	111	912800	1
2018.07.23	14:00:00	0.36	0.38	0.36	0.37	160	1151000	1
2018.07.23	15:00:00	0.37	0.39	0.35	0.35	387	2975400	1
2018.07.23	16:00:00	0.35	0.35	0.32	0.34	405	2276800	1
2018.07.24	10:00:00	0.40	0.42	0.38	0.40	1126	6558800	1
2018.07.24	11:00:00	0.41	0.48	0.40	0.46	953	8795400	1
2018.07.24	12:00:00	0.46	0.50	0.44	0.47	612	2686000	1
2018.07.24	13:00:00	0.47	0.47	0.39	0.42	1019	5559400	1
2018.07.24	14:00:00	0.41	0.42	0.36	0.40	615	4634800	1
2018.07.24	15:00:00	0.40	0.42	0.39	0.40	235	1615200	1
2018.07.24	16:00:00	0.41	0.43	0.40	0.42	400	2009700	1
2018.07.25	10:00:00	0.44	0.48	0.42	0.43	895	7226000	1
2018.07.25	11:00:00	0.44	0.46	0.39	0.41	1535	5584300	1
2018.07.25	12:00:00	0.42	0.44	0.41	0.43	479	2171100	1
2018.07.25	13:00:00	0.43	0.44	0.42	0.43	202	402500	1
2018.07.25	14:00:00	0.43	0.46	0.43	0.45	284	1884900	1
2018.07.25	15:00:00	0.46	0.53	0.45	0.49	890	7595300	1
2018.07.25	16:00:00	0.49	0.53	0.46	0.50	831	3786100	1
2018.07.26	10:00:00	0.52	0.53	0.43	0.45	1668	7691800	1
2018.07.26	11:00:00	0.45	0.46	0.42	0.45	537	3569900	1
2018.07.26	12:00:00	0.45	0.46	0.43	0.44	406	3201200	1
2018.07.26	13:00:00	0.44	0.44	0.39	0.40	566	2947800	1
2018.07.26	14:00:00	0.41	0.42	0.39	0.41	329	1216900	1
2018.07.26	15:00:00	0.41	0.44	0.38	0.43	699	3612100	1
2018.07.26	16:00:00	0.42	0.43	0.35	0.35	741	3331400	1
2018.07.27	10:00:00	0.39	0.45	0.39	0.44	600	4602500	1
2018.07.27	11:00:00	0.44	0.45	0.39	0.40	568	3359600	1
2018.07.27	12:00:00	0.41	0.44	0.40	0.44	282	2981600	1
2018.07.27	13:00:00	0.44	0.44	0.40	0.40	172	2220400	1
2018.07.27	14:00:00	0.40	0.43	0.40	0.42	150	1059900	1
2018.07.27	15:00:00	0.41	0.42	0.39	0.41	145	1166700	1
2018.07.27	16:00:00	0.41	0.43	0.40	0.42	239	1381500	1
2018.07.30	10:00:00	0.47	0.50	0.45	0.45	583	3684000	1
2018.07.30	11:00:00	0.45	0.46	0.41	0.42	486	3215100	1
2018.07.30	12:00:00	0.42	0.44	0.41	0.44	396	968200	1
2018.07.30	13:00:00	0.44	0.45	0.42	0.43	406	1162300	1
2018.07.30	14:00:00	0.43	0.46	0.43	0.44	366	1577100	1
2018.07.30	15:00:00	0.44	0.46	0.39	0.40	444	2003400	1
2018.07.30	16:00:00	0.41	0.44	0.40	0.44	467	2217000	1
2018.07.31	10:00:00	0.40	0.41	0.35	0.36	1675	9646100	1
2018.07.31	11:00:00	0.36	0.36	0.33	0.35	574	4058300	1
2018.07.31	12:00:00	0.36	0.37	0.34	0.36	240	1924300	1
2018.07.31	13:00:00	0.36	0.39	0.35	0.38	295	1772100	1
2018.07.31	14:00:00	0.38	0.38	0.36	0.36	137	931600	1
2018.07.31	15:00:00	0.37	0.39	0.37	0.37	163	1159600	1
2018.07.31	16:00:00	0.36	0.37	0.35	0.37	287	1880200	1
2018.08.01	10:00:00	0.34	0.38	0.32	0.35	1507	6792000	1
2018.08.01	11:00:00	0.36	0.41	0.36	0.40	999	6229600	1
2018.08.01	12:00:00	0.40	0.41	0.36	0.38	553	2728400	1
2018.08.01	13:00:00	0.37	0.39	0.36	0.39	163	864000	1
2018.08.01	14:00:00	0.38	0.41	0.38	0.39	328	2160400	1
2018.08.01	15:00:00	0.40	0.41	0.38	0.39	310	1871100	1
2018.08.01	16:00:00	0.40	0.47	0.40	0.47	754	4979100	1
2018.08.02	10:00:00	0.46	0.59	0.45	0.54	1934	10722700	1
2018.08.02	11:00:00	0.54	0.62	0.54	0.59	1321	7954800	1
2018.08.02	12:00:00	0.59	0.69	0.59	0.69	1149	7010400	1
2018.08.02	13:00:00	0.68	0.77	0.68	0.77	776	4188600	1
2018.08.02	14:00:00	0.76	0.90	0.75	0.83	1668	5837100	1
2018.08.02	15:00:00	0.83	0.83	0.78	0.81	1221	3346500	1
2018.08.02	16:00:00	0.82	0.82	0.70	0.70	1018	4250400	1
2018.08.03	10:00:00	1.10	1.11	0.91	1.01	1768	5937500	1
2018.08.03	11:00:00	1.01	1.18	0.97	1.12	1787	4400100	1
2018.08.03	12:00:00	1.12	1.12	0.92	1.01	1468	3563200	1
2018.08.03	13:00:00	1.01	1.08	1.00	1.06	607	1328400	1
2018.08.03	14:00:00	1.06	1.06	0.97	1.02	634	1388100	1
2018.08.03	15:00:00	1.02	1.05	1.00	1.03	463	1434300	1
